,Date,Breed,Age,Sex,Altered,Borough,Zipcode
140,April 10 2015,Cocker Spaniel Mix,5,M,TRUE,Brooklyn,11206
141,April 03 2015,Boxer/Hound/Pitbull,6,F,TRUE,Brooklyn,11216
142,April 12 2015,German Shepherd,11,F,TRUE,Brooklyn,11209
143,April 10 2015,English Bulldog,0.75,M,FALSE,Brooklyn,11220
144,April 10 2015,American Pitbull Terrier,0.5,M,FALSE,Brooklyn,11224
145,April 12 2015,Chihuahua,9,F,TRUE,Brooklyn,11224
146,April 10 2015,NA,NA,U,FALSE,Brooklyn,11208
147,April 09 2015,NA,NA,U,FALSE,Brooklyn,NA
148,April 13 2015,American Pitbull Terrier,9,M,FALSE,Brooklyn,11207
149,April 13 2015,Chihuahua,0.75,M,FALSE,Brooklyn,11208
150,April 14 2015,American Pitbull Terrier Mix,2,F,TRUE,Brooklyn,11216
151,April 10 2015,American Pitbull Terrier,3,M,TRUE,Brooklyn,NA
152,April 10 2015,Siberian Husky,NA,U,FALSE,Brooklyn,11226
153,April 14 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
154,April 16 2015,American Pitbull Terrier,1,F,FALSE,Brooklyn,11208
155,April 16 2015,Rottweiler,1,M,TRUE,Brooklyn,11228
156,April 14 2015,Beagle Mix,19,M,FALSE,Brooklyn,11214
157,April 20 2015,NA,NA,U,FALSE,Brooklyn,NA
158,April 18 2015,Australian Cattle,NA,F,FALSE,Brooklyn,NA
159,April 13 2015,NA,NA,U,FALSE,Brooklyn,11221
160,April 11 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11207
161,April 15 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
162,April 19 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11221
163,April 19 2015,German Shepherd Mix,15,F,TRUE,Brooklyn,11222
164,April 17 2015,Border Terrier,3,M,TRUE,Brooklyn,NA
165,April 17 2015,American Pitbull Terrier,3,M,FALSE,Brooklyn,11231
166,April 20 2015,NA,0.333,U,FALSE,Brooklyn,11224
