,Month,Day,Year,Breed,Age,Sex,Altered,Borough,Zipcode
130,March,30,2016,Dogo Argentino Mix,3,M,FALSE,Brooklyn,11223
131,March,28,2016,Cairn Terrier,1,M,TRUE,Brooklyn,NA
132,March,30,2016,Boxer,9,M,TRUE,Brooklyn,11210
133,March,29,2016,NA,NA,U,FALSE,Brooklyn,11205
134,March,26,2016,Standard Schnauzer,4,M,FALSE,Brooklyn,11217
135,April,01,2016,American Pitbull Terrier,5,M,FALSE,Brooklyn,11208
136,April,01,2016,Terrier/Rottweiler X,6,M,FALSE,Brooklyn,11235
137,April,02,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
138,April,02,2016,Chihuahua,NA,U,FALSE,Brooklyn,NA
139,March,31,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
140,April,03,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
141,April,05,2016,American Pitbull Terrier Mix,4,M,FALSE,Brooklyn,11223
142,April,04,2016,Golden Retriever,NA,U,FALSE,Brooklyn,11222
143,April,06,2016,American Pitbull Terrier,3,M,FALSE,Brooklyn,11212
144,April,07,2016,American Pitbull Terrier Mix,3,M,FALSE,Brooklyn,11221
145,April,06,2016,NA,NA,U,FALSE,Brooklyn,11220
146,April,05,2016,Unknown,NA,U,FALSE,Brooklyn,11229
147,April,08,2016,American Pitbull Terrier,7,M,FALSE,Brooklyn,11214
148,April,07,2016,American Pitbull Terrier,1,U,FALSE,Brooklyn,11223
149,April,07,2016,Dachshund,7,M,FALSE,Brooklyn,11220
150,April,07,2016,Staffordshire Terrier/Pitbull Mix,1,F,TRUE,Brooklyn,11221
151,April,08,2016,Dalmatian,NA,U,FALSE,Brooklyn,11208
152,April,08,2016,NA,NA,U,FALSE,Brooklyn,11217
153,April,02,2016,Chihuahua,NA,U,FALSE,Brooklyn,11234
154,April,09,2016,Chihuahua,NA,U,FALSE,Brooklyn,11206
155,April,09,2016,Mastiff,NA,U,FALSE,Brooklyn,11238
156,April,11,2016,American Pitbull Terrier Mix,3,M,TRUE,Brooklyn,11210
157,April,04,2016,Maltese Mix,3,M,FALSE,Brooklyn,11235
158,April,12,2016,American Pitbull Terrier,NA,M,FALSE,Brooklyn,11206
159,April,10,2016,Corgi,2,M,FALSE,Brooklyn,11232
160,March,09,2016,Chihuahua,0.271,M,FALSE,Brooklyn,11237
161,April,10,2016,NA,NA,U,FALSE,Brooklyn,11211
162,April,14,2016,Pekingese,3,M,TRUE,Brooklyn,11238
163,April,16,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11207
164,April,14,2016,Pharoah Hound,2,M,TRUE,Brooklyn,11209
165,April,17,2016,Lab Mix,3,F,TRUE,Brooklyn,11201
166,April,16,2016,NA,NA,U,FALSE,Brooklyn,11201
167,April,18,2016,Rhodesian Ridgeback,8,M,TRUE,Brooklyn,11225
168,April,14,2016,American Pitbull Terrier,10,F,TRUE,Brooklyn,11209
169,April,17,2016,Labrador Retriever,NA,U,FALSE,Brooklyn,11214
170,April,15,2016,Lhasa Apso/Maltese,5,M,TRUE,Brooklyn,11208
171,April,19,2016,American Pitbull Terrier,3,M,TRUE,Brooklyn,11216
172,April,19,2016,Beagle,6,M,TRUE,Brooklyn,11238
173,April,19,2016,Pitbull/Rottweiler,NA,U,FALSE,Brooklyn,NA
174,April,20,2016,American Pitbull Terrier,7,M,TRUE,Brooklyn,11237
175,April,21,2016,American Pitbull Terrier,3,M,FALSE,Brooklyn,11221
176,April,20,2016,NA,NA,U,FALSE,Brooklyn,11229
177,April,19,2016,Border Collie,7,F,TRUE,Brooklyn,11249
178,April,23,2016,Maltese,6,M,TRUE,Brooklyn,11249
179,April,25,2016,NA,NA,U,FALSE,Brooklyn,NA
180,April,17,2016,Beagle Mix,5,M,TRUE,Brooklyn,11204
181,April,19,2016,American Pitbull Terrier,7,F,TRUE,Brooklyn,11231
182,April,25,2016,American Pitbull Terrier,3,F,FALSE,Brooklyn,11233
183,April,26,2016,NA,NA,U,FALSE,Brooklyn,11222
184,April,29,2016,Yorkshire Terrier Mix,1,M,TRUE,Brooklyn,11235
185,April,28,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
186,April,27,2016,American Pitbull Terrier,NA,M,FALSE,Brooklyn,11234
187,April,26,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11221
188,April,29,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11212
189,April,21,2016,Shepard X,4,M,TRUE,Brooklyn,11228
190,May,01,2016,NA,NA,U,FALSE,Brooklyn,11207
191,May,02,2016,Dalmatian,1,M,TRUE,Brooklyn,11221
192,May,02,2016,Shih Tzu Mix,NA,U,FALSE,Brooklyn,11206
193,April,29,2016,Tibetan Mastiff,NA,U,FALSE,Brooklyn,11237
194,May,03,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11225
195,May,05,2016,American Pitbull Terrier Mix,4,F,FALSE,Brooklyn,11236
196,April,22,2016,Unknown,NA,M,FALSE,Brooklyn,11207
197,May,03,2016,Cocker Spaniel,5,M,TRUE,Brooklyn,11229
198,April,21,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11207
199,April,12,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11236
200,April,27,2016,Staffordshire Bull Terrier,NA,M,FALSE,Brooklyn,11223
201,May,02,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11211
